state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,notes,dataQualityGrade,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,checkTimeEt,death,hospitalized,total,totalTestResults,posNeg,fips,dateModified,dateChecked,lat,long
AK,364,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",C,19961,,25,,,,,,254,5/1/2020 14:00,5/1/2020 15:39,9,,20325,20325,20325,2,2020-05-01T18:00:00Z,2020-05-01T19:39:00Z,61.3025006,-158.7750198
AL,7158,1,1,0,1,B,3,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,84775,,,1008,,335,,195,,5/1/2020 0:00,5/1/2020 15:30,279,1008,91933,91933,91933,1,2020-05-01T04:00:00Z,2020-05-01T19:30:00Z,32.6010112,-86.6807365
AR,3321,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,46355,,95,414,,,23,85,1973,5/1/2020 14:50,5/1/2020 16:05,64,414,49676,49676,49676,5,2020-05-01T18:50:00Z,2020-05-01T20:05:00Z,34.7519275,-92.1313784
AZ,7962,1,1,0,1,B,3,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,66917,,709,1203,311,,187,,1528,5/1/2020 0:00,5/1/2020 16:21,330,1203,74879,74879,74879,4,2020-05-01T04:00:00Z,2020-05-01T20:21:00Z,34.1682185,-111.930907
CA,50442,1,1,0,1,B,3,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,604543,,4706,,1434,,,,,4/30/2020 0:00,5/1/2020 16:54,2073,,654985,654985,654985,6,2020-04-30T04:00:00Z,2020-05-01T20:54:00Z,37.2718745,-119.2704153
CO,15284,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,57106,,959,2697,,,,,2486,5/1/2020 0:00,5/1/2020 16:13,777,2697,72390,72390,72390,8,2020-05-01T04:00:00Z,2020-05-01T20:13:00Z,38.9979339,-105.550567
CT,28764,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,71493,,1592,7758,,,,,4346,5/1/2020 0:00,5/1/2020 17:06,2339,7758,100257,100257,100257,9,2020-05-01T04:00:00Z,2020-05-01T21:06:00Z,41.5187835,-72.757507
DE,4918,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,17667,,281,,,,,,1403,5/1/2020 13:15,5/1/2020 14:31,159,,22585,22585,22585,10,2020-05-01T17:15:00Z,2020-05-01T18:31:00Z,39.145251,-75.4189206
FL,34728,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",C,367971,,,5795,,,,,,5/1/2020 14:32,5/1/2020 14:59,1314,5795,402699,402699,402699,12,2020-05-01T18:32:00Z,2020-05-01T18:59:00Z,27.9757279,-81.5330166
GA,27270,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,141097,,,5269,,1215,,,,5/1/2020 14:25,5/1/2020 15:02,1154,5269,168367,168367,168367,13,2020-05-01T18:25:00Z,2020-05-01T19:02:00Z,32.6781248,-83.2229757
